motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U8,4.0,4.0,CPG,0.523,0.963,-0.472849571036611,0.0
U8,4.1,4.099099099099099,CPG,0.533,0.964,-0.461106225775864,0.0009009009009002256
U8,4.2,4.2,CPG,0.525,0.962,-0.4710730902103009,0.0
U8,4.3,4.3,CPG,0.559,0.963,-0.4607418781863992,0.0
U8,4.4,4.4,CPG,0.53,0.956,-0.4653980111549817,0.0
U8,4.5,4.5,CPG,0.526,0.955,-0.4665157531398644,0.0
U8,4.6,4.6,CPG,0.531,0.957,-0.4660498980757127,0.0
U8,4.7,4.699604743083004,CPG,0.604,0.967,-0.4446249606062973,0.0003952569169962672
U8,4.8,4.8,CPG,0.536,0.954,-0.4624732508964043,0.0
U8,4.9,4.9,CPG,0.551,0.959,-0.4609177649790954,0.0
U8,5.0,5.0,CPG,0.538,0.955,-0.4622888716886407,0.0
U8,5.1,5.1,CPG,0.543,0.955,-0.4609748186430586,0.0
U8,5.2,5.2,SSPG,0.544,0.96,-0.46388273610597,0.0
U8,5.3,5.301075268817205,CPG,0.551,0.952,-0.4450708955882207,0.0010752688172050995
U8,5.4,5.4,CPG,0.563,0.956,-0.4546519613017473,0.0
U8,5.5,5.5,SSPG,0.542,0.953,-0.4600186341682135,0.0
U8,5.6,5.6,CPG,0.555,0.956,-0.4575450115227997,0.0
U8,5.7,5.7,SSPG,0.541,0.947,-0.4557245602524411,0.0
U8,5.8,5.8,CPG,0.566,0.956,-0.4542100278007114,0.0
U8,5.9,6.0,SSPG,0.554,0.958,-0.4591332282090046,0.09999999999999964
U8,6.0,6.0,SSPG,0.554,0.958,-0.4591332282090046,0.0
U8,6.1,6.0,SSPG,0.554,0.958,-0.4591332282090046,0.09999999999999964
U8,6.2,6.2,CPG,0.584,0.954,-0.4465586277909159,0.0
U8,6.3,6.3,CPG,0.585,0.957,-0.4481544538694075,0.0
U8,6.4,6.4,CPG,0.624,0.958,-0.4356789748528173,0.0
U8,6.5,6.5,CPG,0.57,0.949,-0.4476200226167456,0.0
U8,6.6,6.6,CPG,0.578,0.952,-0.4474410221896576,0.0
U8,6.7,6.700757575757578,CPG,0.583,0.946,-0.433818852162965,0.0007575757575777331
U8,6.8,6.8,CPG,0.627,0.958,-0.4351084349353462,0.0
U8,6.9,6.9,CPG,0.664,0.958,-0.422947461550029,0.0
U8,7.0,7.0,CPG,0.587,0.946,-0.4404615944125309,0.0
U8,7.1,7.0,SSPG,0.587,0.946,-0.4402779875531576,0.09999999999999964
U8,7.2,7.200000000000001,CPG,0.581,0.942,-0.4396169036116854,8.881784197001252e-16
U8,7.3,7.3,CPG,0.601,0.949,-0.4373720644387686,0.0
U8,7.4,7.4,CPG,0.61,0.953,-0.4374945204538824,0.0
U8,7.5,7.5,CPG,0.601,0.951,-0.4385400265019871,0.0
U8,7.6,7.6,CPG,0.612,0.952,-0.4359596200169768,0.0
U8,7.7,7.69921875,CPG,0.609,0.947,-0.425550126466417,0.0007812500000001776
U8,7.8,7.8,CPG,0.602,0.948,-0.4364022037165074,0.0
U8,7.9,7.901960784313725,CPG,0.597,0.941,-0.4134396657564871,0.001960784313724595
U8,8.0,8.0,CPG,0.605,0.951,-0.4377663760214162,0.0
U8,8.1,8.098765432098766,CPG,0.689,0.959,-0.4027121979619374,0.001234567901233774
U8,8.2,8.2,CPG,0.674,0.954,-0.4166764294343307,0.0
U8,8.3,8.298245614035087,CPG,0.691,0.96,-0.3971397437021123,0.0017543859649133964
U8,8.4,8.4,CPG,0.662,0.948,-0.4165732507887469,0.0
U8,8.5,8.5,CPG,0.663,0.952,-0.419132109981422,0.0
U8,8.6,8.6,CPG,0.657,0.948,-0.4183221272009166,0.0
U8,8.7,8.7,CPG,0.664,0.953,-0.4195167912679556,0.0
U8,8.8,8.8,CPG,0.627,0.948,-0.4280116013497502,0.0
U8,8.9,8.90625,CPG,0.666,0.954,-0.3571094723871512,0.006249999999999645
U8,9.0,8.999999999999998,CPG,0.609,0.939,-0.4286429953822388,1.7763568394002505e-15
U8,9.1,9.1,CPG,0.627,0.945,-0.4261138226996848,0.0
U8,9.2,9.2,CPG,0.698,0.95,-0.4063051130901489,0.0
U8,9.3,9.306122448979592,CPG,0.637,0.945,-0.3617109603552583,0.0061224489795908
U8,9.4,9.4,CPG,0.699,0.951,-0.4067566373291192,0.0
U8,9.5,9.5,CPG,0.703,0.954,-0.4070885814186995,0.0
U8,9.6,9.6,CPG,0.688,0.95,-0.4092606224147153,0.0
U8,9.7,9.696969696969695,CPG,0.669,0.95,-0.3852436786117791,0.003030303030303827
U8,9.8,9.8,CPG,0.699,0.952,-0.407485820127953,0.0
U8,9.9,9.896825396825395,CPG,0.679,0.945,-0.3775369437357384,0.0031746031746049397
U8,10.0,10.0,CPG,0.64,0.943,-0.4203890611152458,0.0
U8,10.1,10.096153846153848,CPG,0.68,0.95,-0.3740258650317226,0.003846153846151168
U8,10.2,10.2,CPG,0.703,0.952,-0.4056131149538376,0.0
U8,10.3,10.29810298102981,CPG,0.709,0.954,-0.3863690439464474,0.001897018970190345
U8,10.4,10.4,CPG,0.722,0.953,-0.4002646759141168,0.0
U8,10.5,10.5,CPG,0.695,0.944,-0.4036257265816393,0.0
U8,10.6,10.603658536585366,CPG,0.725,0.951,-0.361571295586233,0.003658536585366079
U8,10.7,10.703448275862067,CPG,0.714,0.948,-0.3655248824656857,0.003448275862067973
U8,10.8,10.8,CPG,0.718,0.945,-0.3960202377705524,0.0
U8,10.9,10.89,CPG,0.713,0.949,-0.3007842016703912,0.009999999999999787
U8,11.0,11.0,CPG,0.668,0.939,-0.4089038060994726,0.0
U8,11.1,11.099099099099098,CPG,0.72,0.941,-0.3838746766511022,0.0009009009009020019
U8,11.2,11.2,CPG,0.685,0.937,-0.4015743056790092,0.0
U8,11.3,11.302083333333334,CPG,0.734,0.949,-0.3723376478986192,0.002083333333333215
U8,11.4,11.314285714285717,WPG,0.757,0.903,-0.3551082235024654,0.08571428571428363
